TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2022-12-24 16:09:12,292    	OlympicWords                                 	EFCoreLogs-default                         	46                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:09:12,402    	OlympicWords                                 	EFCoreLogs-default                         	42                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:09:13,575    	OlympicWords                                 	EFCoreLogs-default                         	42                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:16:06,320    	OlympicWords                                 	EFCoreLogs-default                         	107                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:16:06,324    	OlympicWords                                 	EFCoreLogs-default                         	81                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:16:07,409    	OlympicWords                                 	EFCoreLogs-default                         	81                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:17:08,018    	OlympicWords                                 	EFCoreLogs-default                         	128                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:17:08,024    	OlympicWords                                 	EFCoreLogs-default                         	137                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:17:09,057    	OlympicWords                                 	EFCoreLogs-default                         	137                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:18:31,622    	OlympicWords                                 	EFCoreLogs-default                         	139                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:18:31,624    	OlympicWords                                 	EFCoreLogs-default                         	157                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:18:32,735    	OlympicWords                                 	EFCoreLogs-default                         	157                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:20:54,277    	OlympicWords                                 	EFCoreLogs-default                         	166                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:20:54,279    	OlympicWords                                 	EFCoreLogs-default                         	170                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:20:55,316    	OlympicWords                                 	EFCoreLogs-default                         	170                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:23:20,291    	OlympicWords                                 	EFCoreLogs-default                         	195                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:23:20,315    	OlympicWords                                 	EFCoreLogs-default                         	181                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:23:21,395    	OlympicWords                                 	EFCoreLogs-default                         	181                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:25:29,010    	OlympicWords                                 	EFCoreLogs-default                         	202                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:25:29,014    	OlympicWords                                 	EFCoreLogs-default                         	220                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:25:30,092    	OlympicWords                                 	EFCoreLogs-default                         	220                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:41:14,785    	OlympicWords                                 	EFCoreLogs-default                         	295                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:41:14,790    	OlympicWords                                 	EFCoreLogs-default                         	312                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:41:15,844    	OlympicWords                                 	EFCoreLogs-default                         	312                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:44:16,274    	OlympicWords                                 	EFCoreLogs-default                         	248                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:44:16,276    	OlympicWords                                 	EFCoreLogs-default                         	243                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:44:17,362    	OlympicWords                                 	EFCoreLogs-default                         	243                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:46:05,136    	OlympicWords                                 	EFCoreLogs-default                         	242                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
