TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2022-12-30 22:32:16,716    	OlympicWords                                 	EFCoreLogs-default                         	9                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:16,803    	OlympicWords                                 	EFCoreLogs-default                         	44                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:17,859    	OlympicWords                                 	EFCoreLogs-default                         	9                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:17,886    	OlympicWords                                 	EFCoreLogs-default                         	14                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:17,913    	OlympicWords                                 	EFCoreLogs-default                         	14                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:17,986    	OlympicWords                                 	EFCoreLogs-default                         	44                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:21,696    	OlympicWords                                 	EFCoreLogs-default                         	44                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:21,717    	OlympicWords                                 	EFCoreLogs-default                         	43                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:21,800    	OlympicWords                                 	EFCoreLogs-default                         	43                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:21,959    	OlympicWords                                 	EFCoreLogs-default                         	14                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:21,960    	OlympicWords                                 	EFCoreLogs-default                         	44                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:22,043    	OlympicWords                                 	EFCoreLogs-default                         	44                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:22,261    	OlympicWords                                 	EFCoreLogs-default                         	48                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:22,282    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:22,345    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:22,508    	OlympicWords                                 	EFCoreLogs-default                         	46                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:22,509    	OlympicWords                                 	EFCoreLogs-default                         	14                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:22,571    	OlympicWords                                 	EFCoreLogs-default                         	14                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:32,958    	OlympicWords                                 	EFCoreLogs-default                         	43                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:32,980    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:33,062    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:45,710    	OlympicWords                                 	EFCoreLogs-default                         	44                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:45,712    	OlympicWords                                 	EFCoreLogs-default                         	43                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:45,754    	OlympicWords                                 	EFCoreLogs-default                         	43                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:32:50,670    	OlympicWords                                 	EFCoreLogs-default                         	47                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:32:50,672    	OlympicWords                                 	EFCoreLogs-default                         	56                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:32:50,775    	OlympicWords                                 	EFCoreLogs-default                         	56                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:33:05,986    	OlympicWords                                 	EFCoreLogs-default                         	47                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:33:06,008    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:33:06,049    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:33:10,798    	OlympicWords                                 	EFCoreLogs-default                         	46                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:33:10,820    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:33:10,881    	OlympicWords                                 	EFCoreLogs-default                         	50                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:34:43,059    	OlympicWords                                 	EFCoreLogs-default                         	66                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:34:43,081    	OlympicWords                                 	EFCoreLogs-default                         	63                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:34:44,165    	OlympicWords                                 	EFCoreLogs-default                         	63                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-30 22:35:00,878    	OlympicWords                                 	EFCoreLogs-default                         	65                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-30 22:35:00,880    	OlympicWords                                 	EFCoreLogs-default                         	62                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-30 22:35:00,922    	OlympicWords                                 	EFCoreLogs-default                         	62                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
